1	0	3	7
2	0	1	12
3	2	3	5
4	4	2	9
5	6	3	4
6	6	3	8
7	10	1	15
8	10	2	10
9	12	3	3
10	14	3	6
11	16	2	11
12	18	3	5
13	20	3	9
14	20	1	14
15	22	3	4
16	24	2	8
17	26	3	6
18	28	3	7
19	30	1	13
20	32	3	3
21	34	2	10
22	36	3	5
23	38	3	8
24	40	2	7
25	42	3	4
26	44	1	11
27	46	3	6
28	50	3	9
29	50	2	8
30	54	3	5
31	56	3	7
32	60	1	12
33	60	2	9
34	62	3	3
35	66	3	6
36	70	3	8
37	70	2	10
38	74	3	4
39	76	3	7
40	80	1	14
41	82	3	5
42	86	2	9
43	88	3	6
44	90	3	3
45	94	3	8
46	100	1	11
47	104	2	7
48	108	3	5
49	112	3	9
50	116	3	4
